['Corrida', 'Tiempo (seg)', 'Utilidad Relajada (US$)', 'Utilidad Final (US$)']
[1, 209.83324909210205, 5740.05025069057, 'Total Utilidad: 5740.05']
[2, 226.11883783340454, 5604.701384356509, 'Total Utilidad: 5604.7']
[3, 185.89930987358093, 5482.841946274561, 'Total Utilidad: 5482.84']
[4, 234.77461218833923, 5763.26408304888, 'Total Utilidad: 5763.25']
[5, 250.41940212249756, 5768.419525818459, 'Total Utilidad: 5768.43']
[6, 335.00370693206787, 5891.282991540181, 'Total Utilidad: 5891.28']
[7, 230.7453100681305, 5686.35970348983, 'Total Utilidad: 5686.36']
[8, 305.1082739830017, 5913.8635305711705, 'Total Utilidad: 5913.85']
[9, 246.0537989139557, 5890.882160777219, 'Total Utilidad: 5890.88']
[10, 267.7589068412781, 5810.125608561149, 'Total Utilidad: 5810.11']
