['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', -24.254861398160017]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3633.78593874666]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2612.0534611808907]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2429.3952830059807]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 368.05686247637004]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1805.7842640682995]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1991.4472348928002]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 326.99272805787007]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1209.22722845338]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1830.5838640512898]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2151.9709864846204]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2659.1635892497397]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1572.70213410266]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2084.85348533829]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1214.8972831035603]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2190.37862122558]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 284.09960516238993]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2241.51004540438]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 845.16212884637]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1661.7314782119197]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1189.8632721292]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1626.8019448268603]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2302.8814824197902]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 712.5355258173101]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1365.30824295259]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1390.5583369789701]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 591.50199828491]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 940.22120547038]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 820.42112358393]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 766.8379981774001]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 933.07456448878]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1229.48067414308]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1202.5799337261399]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 993.3156602929498]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1526.01971565049]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2789.0810392122503]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1606.2082617454598]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1668.81850948619]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2581.8298764331303]
['x[41, 1]', '=', 0.00016874087085520648, '/    Utilidad Ruta : ', 1550.2047600618698]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2022.67072740101]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1784.2206816966102]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1692.5805648766702]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1837.46178934607]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1611.9023376864898]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2457.158532358641]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2097.07426484269]
['x[49, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1740.05763882614]
['x[50, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1148.81705296677]
