['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 746.7436713174098]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3101.5398760096004]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 3449.2795388946906]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -229.13196348]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2910.4566036622105]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2398.64222949513]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1640.7771049343403]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2189.52215832757]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1663.1140605284495]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1887.88351118588]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2167.6110994039]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2319.45544505077]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2090.4949798087196]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2736.5486387254505]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1977.2677904523698]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1319.5448886290699]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1424.05861599817]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2088.1240494348704]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1752.69527123739]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1291.9619964928697]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1495.0747759174003]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2429.6134831344502]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1481.51624458651]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2179.7995117966198]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1303.32610412291]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1077.9561632323898]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1740.9371576089507]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 855.56844820791]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1818.5209547205898]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2438.9197106642996]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1893.68035586747]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 736.18422733474]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1545.38288851375]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1228.1631808735901]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1181.6598270653]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 708.2247359409703]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1441.96665600624]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 940.01954169228]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2155.6921901383803]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2377.26817361741]
['x[41, 1]', '=', 1.0000000000000002, '/    Utilidad Ruta : ', 1393.5515376661901]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1528.3719555980701]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1042.04427939389]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1569.40973480709]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1534.9154580804]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2424.33624990444]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2133.4200277245295]
['x[48, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2025.26796129372]
['x[49, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2096.29838553361]
['x[50, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2823.7200924796307]
['x[51, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1438.00688651333]
['x[52, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2420.2830873413304]
['x[53, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2808.76183883005]
['x[54, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1928.80821834875]
['x[55, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2246.3901416168596]
['x[56, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2349.13830506116]
['x[57, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1990.36315214667]
['x[58, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2198.81482059438]
['x[59, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2216.4603785585095]
['x[60, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1123.7209561300601]
['x[61, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1744.8877234069396]
['x[62, 1]', '=', 0.0, '/    Utilidad Ruta : ', 822.2104596622801]
['x[63, 1]', '=', 0.0, '/    Utilidad Ruta : ', 768.1993437561599]
['x[64, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1663.72159969208]
['x[65, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1508.0469115341498]
['x[66, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1687.4136499072897]
['x[67, 1]', '=', 0.0, '/    Utilidad Ruta : ', 980.0970452961999]
['x[68, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1000.8205772584399]
['x[69, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2786.4859500225803]
['x[70, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1876.1038638847494]
['x[71, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1463.9123570562597]
['x[72, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2379.60935314891]
['x[73, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1924.9037028276603]
['x[74, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1661.83736976399]
['x[75, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2361.80195933469]
['x[76, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1617.3100227383097]
['x[77, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1581.8167510000399]
['x[78, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2280.97985757992]
['x[79, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2621.88318948283]
['x[80, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1756.60991986321]
['x[81, 1]', '=', 0.0, '/    Utilidad Ruta : ', 2498.06565898614]
['x[82, 1]', '=', 0.0, '/    Utilidad Ruta : ', 1263.51622476899]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 616.84196193198]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 3931.385794721081]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', -377.8100186194]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2787.3263784691094]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1694.0640694027898]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 827.86999481865]
['x[7, 2]', '=', 0.0, '/    Utilidad Ruta : ', 537.0706901242501]
['x[8, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1386.42486436031]
['x[9, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1703.57679500029]
['x[10, 2]', '=', 0.0, '/    Utilidad Ruta : ', -45.63799262067005]
['x[11, 2]', '=', 0.0, '/    Utilidad Ruta : ', -182.08517488209998]
['x[12, 2]', '=', 0.0, '/    Utilidad Ruta : ', 247.79439618648007]
['x[13, 2]', '=', 0.0, '/    Utilidad Ruta : ', -117.67074096394998]
['x[14, 2]', '=', 0.0, '/    Utilidad Ruta : ', -204.28412891526]
['x[15, 2]', '=', 0.0, '/    Utilidad Ruta : ', -130.22312078112998]
['x[16, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1139.16025621648]
['x[17, 2]', '=', 0.0, '/    Utilidad Ruta : ', -241.79955513220003]
['x[18, 2]', '=', 0.0, '/    Utilidad Ruta : ', 290.98520622755007]
['x[19, 2]', '=', 0.0, '/    Utilidad Ruta : ', 676.2882096369999]
['x[20, 2]', '=', 0.0, '/    Utilidad Ruta : ', 72.7198208341]
['x[21, 2]', '=', 0.0, '/    Utilidad Ruta : ', 207.62582556025995]
['x[22, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1107.87611794053]
['x[23, 2]', '=', 0.0, '/    Utilidad Ruta : ', 72.40340208042]
['x[24, 2]', '=', 0.0, '/    Utilidad Ruta : ', 961.9780974449402]
['x[25, 2]', '=', 0.0, '/    Utilidad Ruta : ', 812.2122831746701]
['x[26, 2]', '=', 0.0, '/    Utilidad Ruta : ', 320.49411169040013]
['x[27, 2]', '=', 0.0, '/    Utilidad Ruta : ', 729.4635061944899]
['x[28, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1042.9753063745502]
['x[29, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1211.5827865169902]
['x[30, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1379.4132145717]
['x[31, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1815.44374694731]
['x[32, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1286.3927502635802]
['x[33, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1040.7762671937203]
['x[34, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2036.9677974481401]
['x[35, 2]', '=', 0.0, '/    Utilidad Ruta : ', 526.8491000471299]
['x[36, 2]', '=', 0.0, '/    Utilidad Ruta : ', 871.00232797393]
['x[37, 2]', '=', 0.0, '/    Utilidad Ruta : ', 1484.37111248258]
['x[38, 2]', '=', 0.0, '/    Utilidad Ruta : ', 2008.0730648386598]
