['x[1, 1]', '=', 0.0, '/    Utilidad Ruta : ', 71655.40072706097]
['x[2, 1]', '=', 0.0, '/    Utilidad Ruta : ', 159075.60385309125]
['x[3, 1]', '=', 0.0, '/    Utilidad Ruta : ', 179424.08021606551]
['x[4, 1]', '=', 0.0, '/    Utilidad Ruta : ', -27.1329086719]
['x[5, 1]', '=', 0.0, '/    Utilidad Ruta : ', 166214.47750816535]
['x[6, 1]', '=', 0.0, '/    Utilidad Ruta : ', 151858.81279927588]
['x[7, 1]', '=', 0.0, '/    Utilidad Ruta : ', 129091.89547922973]
['x[8, 1]', '=', 0.0, '/    Utilidad Ruta : ', 147001.02411774773]
['x[9, 1]', '=', 0.0, '/    Utilidad Ruta : ', 149476.57041766864]
['x[10, 1]', '=', 0.0, '/    Utilidad Ruta : ', 131436.02656168886]
['x[11, 1]', '=', 0.0, '/    Utilidad Ruta : ', 143383.53988702898]
['x[12, 1]', '=', 0.0, '/    Utilidad Ruta : ', 141019.87315031403]
['x[13, 1]', '=', 0.0, '/    Utilidad Ruta : ', 97985.19699709273]
['x[14, 1]', '=', 0.0, '/    Utilidad Ruta : ', 154283.6927628407]
['x[15, 1]', '=', 0.0, '/    Utilidad Ruta : ', 99159.35925252832]
['x[16, 1]', '=', 0.0, '/    Utilidad Ruta : ', 143596.61576351838]
['x[17, 1]', '=', 0.0, '/    Utilidad Ruta : ', 64588.59469649189]
['x[18, 1]', '=', 0.0, '/    Utilidad Ruta : ', 123215.07662609864]
['x[19, 1]', '=', 0.0, '/    Utilidad Ruta : ', 113570.65728468559]
['x[20, 1]', '=', 0.0, '/    Utilidad Ruta : ', 89740.9741946348]
['x[21, 1]', '=', 0.0, '/    Utilidad Ruta : ', 124450.76052349687]
['x[22, 1]', '=', 0.0, '/    Utilidad Ruta : ', 124443.43883469455]
['x[23, 1]', '=', 0.0, '/    Utilidad Ruta : ', 108883.9478262522]
['x[24, 1]', '=', 0.0, '/    Utilidad Ruta : ', 100525.13150243586]
['x[25, 1]', '=', 0.0, '/    Utilidad Ruta : ', 56187.67931505225]
['x[26, 1]', '=', 0.0, '/    Utilidad Ruta : ', 87301.7985209695]
['x[27, 1]', '=', 0.0, '/    Utilidad Ruta : ', 58553.52831547867]
['x[28, 1]', '=', 0.0, '/    Utilidad Ruta : ', 58608.96278093697]
['x[29, 1]', '=', 0.0, '/    Utilidad Ruta : ', 124362.6487621154]
['x[30, 1]', '=', 0.0, '/    Utilidad Ruta : ', 70580.0892615333]
['x[31, 1]', '=', 0.0, '/    Utilidad Ruta : ', 132761.42460609716]
['x[32, 1]', '=', 0.0, '/    Utilidad Ruta : ', 101718.3486305575]
['x[33, 1]', '=', 0.0, '/    Utilidad Ruta : ', 63429.55240606228]
['x[34, 1]', '=', 0.0, '/    Utilidad Ruta : ', 74152.52811419588]
['x[35, 1]', '=', 0.0, '/    Utilidad Ruta : ', 40655.8795520631]
['x[36, 1]', '=', 0.0, '/    Utilidad Ruta : ', 89730.15511848527]
['x[37, 1]', '=', 0.0, '/    Utilidad Ruta : ', 70615.2726951898]
['x[38, 1]', '=', 0.0, '/    Utilidad Ruta : ', 62183.25508405121]
['x[39, 1]', '=', 0.0, '/    Utilidad Ruta : ', 110028.55295020044]
['x[40, 1]', '=', 0.0, '/    Utilidad Ruta : ', 88519.54814254589]
['x[41, 1]', '=', 0.3205925038190496, '/    Utilidad Ruta : ', 114912.96610745693]
['x[42, 1]', '=', 0.0, '/    Utilidad Ruta : ', 62186.33273387889]
['x[43, 1]', '=', 0.0, '/    Utilidad Ruta : ', 87389.08371735035]
['x[44, 1]', '=', 0.0, '/    Utilidad Ruta : ', 66995.2276049939]
['x[45, 1]', '=', 0.0, '/    Utilidad Ruta : ', 106447.7925739249]
['x[46, 1]', '=', 0.0, '/    Utilidad Ruta : ', 108918.55790665127]
['x[47, 1]', '=', 0.0, '/    Utilidad Ruta : ', 95719.19363611378]
['x[48, 1]', '=', 0.04147762935140689, '/    Utilidad Ruta : ', 80186.3020705903]
['x[49, 1]', '=', 0.0, '/    Utilidad Ruta : ', 75386.91973727373]
['x[50, 1]', '=', 0.32829288631612297, '/    Utilidad Ruta : ', 62216.21366568639]
['x[51, 1]', '=', 0.18016789177977177, '/    Utilidad Ruta : ', 63425.20855665399]
['x[52, 1]', '=', 0.12946908873364885, '/    Utilidad Ruta : ', 88581.40033846346]
['x[1, 2]', '=', 0.0, '/    Utilidad Ruta : ', 62177.19788076332]
['x[2, 2]', '=', 0.0, '/    Utilidad Ruta : ', 204621.24692018]
['x[3, 2]', '=', 0.0, '/    Utilidad Ruta : ', -8.55853842662]
['x[4, 2]', '=', 0.0, '/    Utilidad Ruta : ', 181819.44467131584]
['x[5, 2]', '=', 0.0, '/    Utilidad Ruta : ', 168568.02698055017]
['x[6, 2]', '=', 0.0, '/    Utilidad Ruta : ', 156675.86853768778]
